institute_name, address1, address2, city, district, state, board, contact_no, email_address,category,branch_name
ABC Convent and High School, Manewada,Manewada,Nagpur,Nagpur,Maharashtra,State,9096300320,,B,EAST CENTRE - NAGPUR
Adarsh Sanskar Vidyalaya Hasanbagh,Hasanbagh,Hasanbagh,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Adarsh Sanskar Vidyalaya CBSE Hudkeshwar,Hudkeshwar ,Hudkeshwar ,Nagpur,Nagpur,Maharashtra,State,7620264605,,B,EAST CENTRE - NAGPUR
Adarsh Vidya Mandir ,CA Road,CA Road,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Adarsh Vidyalaya,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Amit High School,Dighori,Dighori,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Ankush Classes,Near dada Saheb thakre High School ; Aashirwaad Nagar  Hudkeshwar Sq,Aashirwaad Nagar,Nagpur,Nagpur,Maharashtra,State,9881015403,noid@emailid.com,B,EAST CENTRE - NAGPUR
Ashok Kanya Vidyalaya,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Ashok Vidyalaya   Boys,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Baba Nanak Sidhi Hindi High School,Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7122764288,babananaksindhihindihs@gmail.com,C,EAST CENTRE - NAGPUR
BES Girls High School,Bhiwapur,Bhiwapur,Umred,Nagpur,Maharashtra,State,,,D,EAST CENTRE - NAGPUR
Bhagwati Girls High School,Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,1234567890,noid@emailid.com,B,EAST CENTRE - NAGPUR
Bhartiya Vidya Mandir  Shrikrishana nagar,Shri krishna nagar,Shri krishna nagar,Nagpur,Nagpur,Maharashtra,CBSE,,,A+,EAST CENTRE - NAGPUR
Boys High School,Bhiwapur,Bhiwapur,Umred,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Bunyadi Classes( Jawed Sir),Ajni,Ajni,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
Central India Public School,Kapsi Bhandra Road,Kapsi,Nagpur,Nagpur,Maharashtra,CBSE,7109270366,cipsmanager274@gmail.com,A,EAST CENTRE - NAGPUR
Central Provisional School,Rameshwari,Rameshwari,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Centre point school  Wardhman nagar,Wardhaman Nagar,Wardhaman Nagar,Nagpur,Nagpur,Maharashtra,CBSE,,,A+,EAST CENTRE - NAGPUR
D D Nagar Vidyalaya,Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Dadasaheb Khadse High School,Manewada,Manewada,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Dadasaheb Thakre High School,Aashirwaad Nagar,Aashirwaad Nagar,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Dr. Bower Appostolic,Ajni,Ajni,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Easter Point Convent,Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Engineer's English school,Rameshwari,Rameshwari,Nagpur,Nagpur,Maharashtra,State,7126557340,,B,EAST CENTRE - NAGPUR
Gayatri Convent Nadanvan,SD Hospital Rd  New Nandanvan Colony  Sharda Chowk  Nandanvan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7276001562,gayatriconvent.nandanwan@gmail.com,A,EAST CENTRE - NAGPUR
Gayatri Convent Mahal,Mahal,Mahal,Nagpur,Nagpur,Maharashtra,State,7122721723,,A,EAST CENTRE - NAGPUR
Green City High school,Hudkeshwar ,Hudkeshwar ,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Hindusthan Vidyalaya,Lakadganj,Lakadganj,Nagpur,Nagpur,Maharashtra,State,7709961693,manojkhapekar95@gmail.com,C,EAST CENTRE - NAGPUR
ICAD EAST Centre,Hanuman Nagar,Hanuman Nagar,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
Indira Gandhi  High School,Sharda Square,Sharda Square,Nagpur,Nagpur,Maharashtra,State,7122250269,,C,EAST CENTRE - NAGPUR
Indira Gandhi Girls High School,Sharda Square,Sharda Square,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
Jagat Public School,Wathoda,Wathoda,Nagpur,Nagpur,Maharashtra,State,9158977750,jpsnagpur@gmail.com,C,EAST CENTRE - NAGPUR
Jamdar High School,Nandanwan,Nandanwan,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
